data,crc
"{'event_time': '2023-10-17T10:00:06.880Z', 'weight': 0.0}",2512797905
"{'event_time': '2023-10-17T10:00:07.888Z', 'weight': 0.0}",118798208
"{'event_time': '2023-10-17T10:00:08.879Z', 'weight': 0.0}",3664354417
"{'event_time': '2023-10-17T10:00:09.869Z', 'weight': 0.0}",612191715
"{'event_time': '2023-10-17T10:00:10.878Z', 'weight': 0.0}",2350332456
"{'event_time': '2023-10-17T10:00:11.886Z', 'weight': 0.0}",4287018571
"{'event_time': '2023-10-17T10:00:12.895Z', 'weight': 0.0}",1330786969
"{'event_time': '2023-10-17T10:00:13.878Z', 'weight': 0.0}",4210164501
"{'event_time': '2023-10-17T10:00:14.886Z', 'weight': 0.0}",1688861964
"{'event_time': '2023-10-17T10:00:15.895Z', 'weight': 0.0}",971745847
"{'event_time': '2023-10-17T10:00:16.871Z', 'weight': 0.0}",3214857615
"{'event_time': '2023-10-17T10:00:17.880Z', 'weight': 0.0}",2408632098
"{'event_time': '2023-10-17T10:00:18.888Z', 'weight': 0.0}",4029745455
"{'event_time': '2023-10-17T10:00:19.897Z', 'weight': 0.0}",1304055411
"{'event_time': '2023-10-17T10:00:20.905Z', 'weight': 0.0}",2646353458
"{'event_time': '2023-10-17T10:00:21.863Z', 'weight': 0.0}",2162874814
"{'event_time': '2023-10-17T10:00:22.875Z', 'weight': 0.0}",246730966
"{'event_time': '2023-10-17T10:00:23.884Z', 'weight': 0.0}",1052428923
"{'event_time': '2023-10-17T10:00:24.893Z', 'weight': 0.0}",1734009560
"{'event_time': '2023-10-17T10:00:25.873Z', 'weight': 0.0}",3855696747
"{'event_time': '2023-10-17T10:00:26.881Z', 'weight': 0.0}",2602503302
"{'event_time': '2023-10-17T10:00:27.890Z', 'weight': 0.0}",3001638220
"{'event_time': '2023-10-17T10:00:28.898Z', 'weight': 0.0}",3444087617
"{'event_time': '2023-10-17T10:00:29.875Z', 'weight': 0.0}",2028513997
"{'event_time': '2023-10-17T10:00:30.884Z', 'weight': 0.0}",3380254305
"{'event_time': '2023-10-17T10:00:31.892Z', 'weight': 0.0}",2863811808
"{'event_time': '2023-10-17T10:00:32.874Z', 'weight': 0.0}",1483945385
"{'event_time': '2023-10-17T10:00:33.883Z', 'weight': 0.0}",4120978455
"{'event_time': '2023-10-17T10:00:34.892Z', 'weight': 0.0}",832374695
"{'event_time': '2023-10-17T10:00:35.900Z', 'weight': 0.0}",3107751400
"{'event_time': '2023-10-17T10:00:36.884Z', 'weight': 0.0}",615572507
"{'event_time': '2023-10-17T10:00:37.892Z', 'weight': 0.0}",1199062682
"{'event_time': '2023-10-17T10:00:38.901Z', 'weight': 0.0}",4115140049
